Samples ,Samples (s),Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),Power (mW),Unix Time (ms),Time (s),T [Jedha] Rydberg Table,std,mean,c.v. (%)
0,0, 5/16/2024, 18:39:02.432,0.28743,908.2788,1.71588E+12,0,21.66,0.340146398,907.6993518,0.037473465
1,10, 5/16/2024, 18:39:12.934,0.28741,908.2156,1.71588E+12,60,21.63,,,
2,20, 5/16/2024, 18:39:22.186,0.28745,908.342,1.71588E+12,120,21.66,,,
3,30, 5/16/2024, 18:39:32.198,0.28743,908.2788,1.71588E+12,180,21.63,,,
4,40, 5/16/2024, 18:39:42.207,0.28737,908.0892,1.71588E+12,240,21.63,,,
5,50, 5/16/2024, 18:39:52.238,0.28739,908.1524,1.71588E+12,300,21.63,,,
6,60, 5/16/2024, 18:40:02.243,0.28743,908.2788,1.71588E+12,360,21.56,,,
7,70, 5/16/2024, 18:40:12.271,0.28736,908.0576,1.71588E+12,420,21.56,,,
8,80, 5/16/2024, 18:40:22.286,0.28736,908.0576,1.71588E+12,480,21.53,,,
9,90, 5/16/2024, 18:40:32.290,0.28736,908.0576,1.71588E+12,540,21.5,,,
10,100, 5/16/2024, 18:40:42.292,0.28734,907.9944,1.71588E+12,600,21.44,,,
11,110, 5/16/2024, 18:40:52.305,0.28735,908.026,1.71588E+12,660,21.44,,,
12,120, 5/16/2024, 18:41:02.323,0.28734,907.9944,1.71588E+12,720,21.38,,,
13,130, 5/16/2024, 18:41:12.335,0.2873,907.868,1.71588E+12,780,21.38,,,
14,140, 5/16/2024, 18:41:22.337,0.28732,907.9312,1.71588E+12,840,21.38,,,
15,150, 5/16/2024, 18:41:32.353,0.28734,907.9944,1.71588E+12,900,21.31,,,
16,160, 5/16/2024, 18:41:42.374,0.28733,907.9628,1.71588E+12,1020,21.31,,,
17,170, 5/16/2024, 18:41:52.390,0.28733,907.9628,1.71588E+12,1080,21.25,,,
18,180, 5/16/2024, 18:42:02.412,0.28733,907.9628,1.71588E+12,1140,21.25,,,
19,190, 5/16/2024, 18:42:12.430,0.28736,908.0576,1.71588E+12,1200,21.25,,,
20,200, 5/16/2024, 18:42:22.446,0.28732,907.9312,1.71588E+12,1260,21.25,,,
21,210, 5/16/2024, 18:42:32.450,0.28731,907.8996,1.71588E+12,1380,21.19,,,
22,220, 5/16/2024, 18:42:42.465,0.28731,907.8996,1.71588E+12,1440,21.22,,,
23,230, 5/16/2024, 18:42:52.485,0.28729,907.8364,1.71588E+12,1500,21.25,,,
24,240, 5/16/2024, 18:43:02.489,0.28725,907.71,1.71588E+12,1560,21.25,,,
25,250, 5/16/2024, 18:43:12.493,0.28723,907.6468,1.71588E+12,1620,21.22,,,
26,260, 5/16/2024, 18:43:22.517,0.28719,907.5204,1.71588E+12,1740,21.25,,,
27,270, 5/16/2024, 18:43:32.545,0.28719,907.5204,1.71588E+12,1800,21.25,,,
28,280, 5/16/2024, 18:43:42.552,0.28716,907.4256,1.71588E+12,1860,21.28,,,
29,290, 5/16/2024, 18:43:52.559,0.28717,907.4572,1.71588E+12,1920,21.31,,,
30,300, 5/16/2024, 18:44:02.587,0.28719,907.5204,1.71588E+12,1980,21.31,,,
31,310, 5/16/2024, 18:44:12.592,0.28718,907.4888,1.71588E+12,2040,21.31,,,
32,320, 5/16/2024, 18:44:22.622,0.28717,907.4572,1.71588E+12,2100,21.31,,,
33,330, 5/16/2024, 18:44:32.647,0.28716,907.4256,1.71588E+12,2160,21.31,,,
34,340, 5/16/2024, 18:44:42.656,0.28718,907.4888,1.71588E+12,2220,21.38,,,
35,350, 5/16/2024, 18:44:52.682,0.28724,907.6784,1.71588E+12,2280,21.31,,,
36,360, 5/16/2024, 18:45:02.682,0.28724,907.6784,1.71588E+12,2340,21.345,,,
37,370, 5/16/2024, 18:45:12.711,0.28721,907.5836,1.71588E+12,2400,21.38,,,
38,380, 5/16/2024, 18:45:22.730,0.28716,907.4256,1.71588E+12,2460,21.31,,,
39,390, 5/16/2024, 18:45:32.754,0.28717,907.4572,1.71588E+12,2520,21.38,,,
40,400, 5/16/2024, 18:45:42.778,0.28717,907.4572,1.71588E+12,2580,21.31,,,
41,410, 5/16/2024, 18:45:52.806,0.28719,907.5204,1.71588E+12,2640,21.31,,,
42,420, 5/16/2024, 18:46:02.835,0.28719,907.5204,1.71588E+12,2700,21.31,,,
43,430, 5/16/2024, 18:46:12.842,0.28716,907.4256,1.71588E+12,2760,21.28,,,
44,440, 5/16/2024, 18:46:22.851,0.28711,907.2676,1.71588E+12,2880,21.25,,,
45,450, 5/16/2024, 18:46:32.878,0.28708,907.1728,1.71588E+12,2940,21.19,,,
46,460, 5/16/2024, 18:46:42.129,0.28706,907.1096,1.71588E+12,3000,21.19,,,
47,470, 5/16/2024, 18:46:52.155,0.28713,907.3308,1.71588E+12,3060,21.19,,,
48,480, 5/16/2024, 18:47:02.159,0.28713,907.3308,1.71588E+12,3120,21.16,,,
49,490, 5/16/2024, 18:47:12.163,0.28717,907.4572,1.71588E+12,3180,21.16,,,
50,500, 5/16/2024, 18:47:22.169,0.28714,907.3624,1.71588E+12,3240,21.13,,,
51,510, 5/16/2024, 18:47:32.174,0.28711,907.2676,1.71588E+12,3300,21.13,,,
52,520, 5/16/2024, 18:47:42.179,0.28706,907.1096,1.71588E+12,3360,21.13,,,
53,530, 5/16/2024, 18:47:52.201,0.28708,907.1728,1.71588E+12,3420,21.13,,,
54,540, 5/16/2024, 18:48:02.209,0.28712,907.2992,1.71588E+12,3480,21.13,,,
55,550, 5/16/2024, 18:48:12.219,0.2871,907.236,1.71588E+12,3540,21.13,,,
56,560, 5/16/2024, 18:48:22.226,0.28709,907.2044,1.71588E+12,3600,21.13,,,
57,570, 5/16/2024, 18:48:32.233,0.28705,907.078,1.71588E+12,3660,21.13,,,
58,580, 5/16/2024, 18:48:42.255,0.28704,907.0464,1.71588E+12,3720,21.13,,,
59,590, 5/16/2024, 18:48:52.271,0.287,906.92,1.71588E+12,3780,21.19,,,
60,600, 5/16/2024, 18:49:02.280,0.28705,907.078,1.71588E+12,3840,21.19,,,
61,610, 5/16/2024, 18:49:12.295,0.28706,907.1096,1.71588E+12,3900,21.19,,,
62,620, 5/16/2024, 18:49:22.326,0.28708,907.1728,1.71588E+12,3960,21.19,,,
63,630, 5/16/2024, 18:49:32.345,0.28702,906.9832,1.71588E+12,4020,21.25,,,
64,640, 5/16/2024, 18:49:42.353,0.28709,907.2044,1.71588E+12,4080,21.25,,,
65,650, 5/16/2024, 18:49:52.367,0.28708,907.1728,1.71588E+12,4140,21.25,,,
66,660, 5/16/2024, 18:50:02.369,0.28714,907.3624,1.71588E+12,4200,21.25,,,
67,670, 5/16/2024, 18:50:12.374,0.28711,907.2676,1.71588E+12,4260,21.28,,,
68,680, 5/16/2024, 18:50:22.385,0.28709,907.2044,1.71588E+12,4320,21.31,,,
69,690, 5/16/2024, 18:50:32.390,0.28708,907.1728,1.71588E+12,4380,21.25,,,
70,700, 5/16/2024, 18:50:42.397,0.2871,907.236,1.71588E+12,4440,21.25,,,
71,710, 5/16/2024, 18:50:52.413,0.28707,907.1412,1.71588E+12,4500,21.28,,,
72,720, 5/16/2024, 18:51:02.422,0.28707,907.1412,1.71588E+12,4560,21.25,,,
73,730, 5/16/2024, 18:51:12.435,0.2871,907.236,1.71588E+12,4620,21.25,,,
74,740, 5/16/2024, 18:51:22.450,0.28707,907.1412,1.71588E+12,4680,21.25,,,
75,750, 5/16/2024, 18:51:32.455,0.28701,906.9516,1.71588E+12,4800,21.19,,,
76,760, 5/16/2024, 18:51:42.460,0.28697,906.8252,1.71588E+12,4860,21.19,,,
77,770, 5/16/2024, 18:51:52.479,0.28703,907.0148,1.71588E+12,4920,21.19,,,
78,780, 5/16/2024, 18:52:02.492,0.28702,906.9832,1.71588E+12,4980,21.13,,,
79,790, 5/16/2024, 18:52:12.498,0.287,906.92,1.71588E+12,5040,21.13,,,
80,800, 5/16/2024, 18:52:22.507,0.287,906.92,1.71588E+12,5160,21.13,,,
81,810, 5/16/2024, 18:52:32.512,0.28701,906.9516,1.71588E+12,5220,21.06,,,
82,820, 5/16/2024, 18:52:42.518,0.28702,906.9832,1.71588E+12,5280,21.13,,,
83,830, 5/16/2024, 18:52:52.522,0.28704,907.0464,1.71588E+12,5340,21.095,,,
84,840, 5/16/2024, 18:53:02.527,0.28705,907.078,1.71588E+12,5400,21.06,,,
85,850, 5/16/2024, 18:53:12.533,0.2871,907.236,1.71588E+12,5460,21.06,,,
86,860, 5/16/2024, 18:53:22.537,0.28709,907.2044,1.71588E+12,5520,21.06,,,
87,870, 5/16/2024, 18:53:32.542,0.2871,907.236,1.71588E+12,5580,21.13,,,
88,880, 5/16/2024, 18:53:42.560,0.28709,907.2044,1.71588E+12,5640,21.13,,,
89,890, 5/16/2024, 18:53:52.566,0.2871,907.236,1.71588E+12,5700,21.13,,,
90,900, 5/16/2024, 18:54:02.575,0.28714,907.3624,1.71588E+12,5760,21.13,,,
91,910, 5/16/2024, 18:54:12.582,0.28712,907.2992,1.71588E+12,5820,21.13,,,
92,920, 5/16/2024, 18:54:22.586,0.28709,907.2044,1.71588E+12,5880,21.13,,,
93,930, 5/16/2024, 18:54:32.598,0.28707,907.1412,1.71588E+12,5940,21.19,,,
94,940, 5/16/2024, 18:54:42.603,0.28705,907.078,1.71588E+12,6000,21.19,,,
95,950, 5/16/2024, 18:54:52.608,0.28707,907.1412,1.71588E+12,6060,21.19,,,
96,960, 5/16/2024, 18:55:02.614,0.28704,907.0464,1.71588E+12,6120,21.22,,,
97,970, 5/16/2024, 18:55:12.620,0.28705,907.078,1.71588E+12,6180,21.25,,,
98,980, 5/16/2024, 18:55:22.645,0.28709,907.2044,1.71588E+12,6240,21.25,,,
99,990, 5/16/2024, 18:55:32.651,0.28708,907.1728,1.71588E+12,6300,21.25,,,
100,1000, 5/16/2024, 18:55:42.656,0.28704,907.0464,1.71588E+12,6360,21.31,,,
101,1010, 5/16/2024, 18:55:52.670,0.28703,907.0148,1.71588E+12,6420,21.28,,,
102,1020, 5/16/2024, 18:56:02.672,0.28707,907.1412,1.71588E+12,6480,21.31,,,
103,1030, 5/16/2024, 18:56:12.683,0.28706,907.1096,1.71588E+12,6540,21.28,,,
104,1040, 5/16/2024, 18:56:22.706,0.28705,907.078,1.71588E+12,6600,21.25,,,
105,1050, 5/16/2024, 18:56:32.713,0.28705,907.078,1.71588E+12,6660,21.25,,,
106,1060, 5/16/2024, 18:56:42.719,0.28708,907.1728,1.71588E+12,6720,21.25,,,
107,1070, 5/16/2024, 18:56:52.730,0.28703,907.0148,1.71588E+12,6780,21.25,,,
108,1080, 5/16/2024, 18:57:02.735,0.28703,907.0148,1.71588E+12,6840,21.19,,,
109,1090, 5/16/2024, 18:57:12.740,0.28701,906.9516,1.71588E+12,6900,21.19,,,
110,1100, 5/16/2024, 18:57:22.741,0.28707,907.1412,1.71588E+12,7020,21.13,,,
111,1110, 5/16/2024, 18:57:32.742,0.28708,907.1728,1.71588E+12,7080,21.13,,,
112,1120, 5/16/2024, 18:57:42.750,0.28711,907.2676,1.71588E+12,7140,21.095,,,
113,1130, 5/16/2024, 18:57:52.752,0.28712,907.2992,1.71588E+12,7200,21.06,,,
114,1140, 5/16/2024, 18:58:02.757,0.28706,907.1096,1.71588E+12,7260,21.06,,,
115,1150, 5/16/2024, 18:58:12.763,0.28702,906.9832,1.71588E+12,7320,21.06,,,
116,1160, 5/16/2024, 18:58:22.783,0.28706,907.1096,1.71588E+12,7380,21.06,,,
117,1170, 5/16/2024, 18:58:32.787,0.28705,907.078,1.71588E+12,7440,21.06,,,
118,1180, 5/16/2024, 18:58:42.792,0.28702,906.9832,1.71589E+12,7500,21.06,,,
119,1190, 5/16/2024, 18:58:52.797,0.28702,906.9832,1.71589E+12,7560,21.06,,,
120,1200, 5/16/2024, 18:59:02.804,0.28705,907.078,1.71589E+12,7620,21.06,,,
121,1210, 5/16/2024, 18:59:12.811,0.28709,907.2044,1.71589E+12,7680,21.06,,,
122,1220, 5/16/2024, 18:59:22.814,0.28713,907.3308,1.71589E+12,7740,21.06,,,
123,1230, 5/16/2024, 18:59:32.819,0.28717,907.4572,1.71589E+12,7800,21.06,,,
124,1240, 5/16/2024, 18:59:42.823,0.28718,907.4888,1.71589E+12,7860,21.095,,,
125,1250, 5/16/2024, 18:59:52.846,0.28712,907.2992,1.71589E+12,7920,21.095,,,
126,1260, 5/16/2024, 19:00:02.851,0.28712,907.2992,1.71589E+12,7980,21.06,,,
127,1270, 5/16/2024, 19:00:12.854,0.28714,907.3624,1.71589E+12,8040,21.13,,,
128,1280, 5/16/2024, 19:00:22.858,0.28719,907.5204,1.71589E+12,8160,21.13,,,
129,1290, 5/16/2024, 19:00:32.859,0.28712,907.2992,1.71589E+12,8220,21.16,,,
130,1300, 5/16/2024, 19:00:42.868,0.28711,907.2676,1.71589E+12,8280,21.19,,,
131,1310, 5/16/2024, 19:00:52.873,0.28707,907.1412,1.71589E+12,8340,21.19,,,
132,1320, 5/16/2024, 19:01:02.138,0.28712,907.2992,1.71589E+12,8400,21.25,,,
133,1330, 5/16/2024, 19:01:12.147,0.28714,907.3624,1.71589E+12,8460,21.25,,,
134,1340, 5/16/2024, 19:01:22.153,0.28714,907.3624,1.71589E+12,8520,21.25,,,
135,1350, 5/16/2024, 19:01:32.162,0.28708,907.1728,1.71589E+12,8580,21.31,,,
136,1360, 5/16/2024, 19:01:42.170,0.28703,907.0148,1.71589E+12,8640,21.25,,,
137,1370, 5/16/2024, 19:01:52.177,0.28703,907.0148,1.71589E+12,8700,21.28,,,
138,1380, 5/16/2024, 19:02:02.180,0.28704,907.0464,1.71589E+12,8820,21.25,,,
139,1390, 5/16/2024, 19:02:12.185,0.28704,907.0464,1.71589E+12,8880,21.25,,,
140,1400, 5/16/2024, 19:02:22.193,0.28704,907.0464,1.71589E+12,8940,21.25,,,
141,1410, 5/16/2024, 19:02:32.194,0.28708,907.1728,1.71589E+12,9000,21.25,,,
142,1420, 5/16/2024, 19:02:42.197,0.28704,907.0464,1.71589E+12,9060,21.19,,,
143,1430, 5/16/2024, 19:02:52.224,0.28701,906.9516,1.71589E+12,9120,21.19,,,
144,1440, 5/16/2024, 19:03:02.230,0.28702,906.9832,1.71589E+12,9180,21.13,,,
145,1450, 5/16/2024, 19:03:12.237,0.28704,907.0464,1.71589E+12,9240,21.13,,,
146,1460, 5/16/2024, 19:03:22.253,0.28703,907.0148,1.71589E+12,9300,21.13,,,
147,1470, 5/16/2024, 19:03:32.275,0.28705,907.078,1.71589E+12,9360,21.06,,,
148,1480, 5/16/2024, 19:03:42.285,0.28706,907.1096,1.71589E+12,9420,21.06,,,
149,1490, 5/16/2024, 19:03:52.306,0.28702,906.9832,1.71589E+12,9540,21.06,,,
150,1500, 5/16/2024, 19:04:02.309,0.28702,906.9832,1.71589E+12,9600,21.06,,,
151,1510, 5/16/2024, 19:04:12.315,0.28707,907.1412,1.71589E+12,9660,21.06,,,
152,1520, 5/16/2024, 19:04:22.317,0.28709,907.2044,1.71589E+12,9720,21.06,,,
153,1530, 5/16/2024, 19:04:32.333,0.28709,907.2044,1.71589E+12,9780,21.095,,,
154,1540, 5/16/2024, 19:04:42.341,0.2871,907.236,1.71589E+12,9840,21.13,,,
155,1550, 5/16/2024, 19:04:52.345,0.28708,907.1728,1.71589E+12,9900,21.06,,,
156,1560, 5/16/2024, 19:05:02.348,0.28709,907.2044,1.71589E+12,9960,21.13,,,
157,1570, 5/16/2024, 19:05:12.354,0.28712,907.2992,1.71589E+12,10020,21.13,,,
158,1580, 5/16/2024, 19:05:22.362,0.28714,907.3624,1.71589E+12,10080,21.13,,,
159,1590, 5/16/2024, 19:05:32.366,0.28717,907.4572,1.71589E+12,10140,21.13,,,
160,1600, 5/16/2024, 19:05:42.374,0.28716,907.4256,1.71589E+12,10200,21.16,,,
161,1610, 5/16/2024, 19:05:52.378,0.28713,907.3308,1.71589E+12,10320,21.19,,,
162,1620, 5/16/2024, 19:06:02.388,0.28712,907.2992,1.71589E+12,10380,21.19,,,
163,1630, 5/16/2024, 19:06:12.402,0.28712,907.2992,1.71589E+12,10440,21.19,,,
164,1640, 5/16/2024, 19:06:22.403,0.28713,907.3308,1.71589E+12,10500,21.25,,,
165,1650, 5/16/2024, 19:06:32.416,0.28712,907.2992,1.71589E+12,10560,21.31,,,
166,1660, 5/16/2024, 19:06:42.431,0.28711,907.2676,1.71589E+12,10620,21.28,,,
167,1670, 5/16/2024, 19:06:52.453,0.28712,907.2992,1.71589E+12,10740,21.31,,,
168,1680, 5/16/2024, 19:07:02.462,0.28712,907.2992,1.71589E+12,10800,21.31,,,
169,1690, 5/16/2024, 19:07:12.470,0.2871,907.236,1.71589E+12,10860,21.31,,,
170,1700, 5/16/2024, 19:07:22.474,0.28705,907.078,1.71589E+12,10920,21.31,,,
171,1710, 5/16/2024, 19:07:32.479,0.28703,907.0148,1.71589E+12,10980,21.31,,,
172,1720, 5/16/2024, 19:07:42.487,0.28706,907.1096,1.71589E+12,11040,21.31,,,
173,1730, 5/16/2024, 19:07:52.497,0.28715,907.394,1.71589E+12,11100,21.25,,,
174,1740, 5/16/2024, 19:08:02.502,0.28708,907.1728,1.71589E+12,11160,21.25,,,
175,1750, 5/16/2024, 19:08:12.509,0.28702,906.9832,1.71589E+12,11220,21.19,,,
176,1760, 5/16/2024, 19:08:22.516,0.28703,907.0148,1.71589E+12,11280,21.19,,,
177,1770, 5/16/2024, 19:08:32.522,0.28705,907.078,1.71589E+12,11340,21.19,,,
178,1780, 5/16/2024, 19:08:42.528,0.28704,907.0464,1.71589E+12,11400,21.16,,,
179,1790, 5/16/2024, 19:08:52.537,0.28706,907.1096,1.71589E+12,11460,21.16,,,
180,1800, 5/16/2024, 19:09:02.557,0.28704,907.0464,1.71589E+12,11580,21.13,,,
181,1810, 5/16/2024, 19:09:12.562,0.28705,907.078,1.71589E+12,11640,21.13,,,
182,1820, 5/16/2024, 19:09:22.589,0.28704,907.0464,1.71589E+12,11700,21.095,,,
183,1830, 5/16/2024, 19:09:32.608,0.28704,907.0464,1.71589E+12,11760,21.06,,,
184,1840, 5/16/2024, 19:09:42.610,0.28707,907.1412,1.71589E+12,11820,21.06,,,
185,1850, 5/16/2024, 19:09:52.617,0.28707,907.1412,1.71589E+12,11940,21.06,,,
186,1860, 5/16/2024, 19:10:02.636,0.28713,907.3308,1.71589E+12,12000,21.06,,,
187,1870, 5/16/2024, 19:10:12.642,0.28711,907.2676,1.71589E+12,12060,21.13,,,
188,1880, 5/16/2024, 19:10:22.646,0.28711,907.2676,1.71589E+12,12120,21.06,,,
189,1890, 5/16/2024, 19:10:32.669,0.28713,907.3308,1.71589E+12,12180,21.095,,,
190,1900, 5/16/2024, 19:10:42.675,0.28711,907.2676,1.71589E+12,12240,21.13,,,
191,1910, 5/16/2024, 19:10:52.691,0.28713,907.3308,1.71589E+12,12300,21.13,,,
192,1920, 5/16/2024, 19:11:02.696,0.28715,907.394,1.71589E+12,12360,21.13,,,
193,1930, 5/16/2024, 19:11:12.697,0.28712,907.2992,1.71589E+12,12420,21.13,,,
194,1940, 5/16/2024, 19:11:22.703,0.28715,907.394,1.71589E+12,12480,21.19,,,
195,1950, 5/16/2024, 19:11:32.709,0.2871,907.236,1.71589E+12,12540,21.19,,,
196,1960, 5/16/2024, 19:11:42.715,0.28704,907.0464,1.71589E+12,12600,21.19,,,
197,1970, 5/16/2024, 19:11:52.716,0.28705,907.078,1.71589E+12,12660,21.19,,,
198,1980, 5/16/2024, 19:12:02.718,0.28706,907.1096,1.71589E+12,12720,21.25,,,
199,1990, 5/16/2024, 19:12:12.746,0.28705,907.078,1.71589E+12,12780,21.25,,,
200,2000, 5/16/2024, 19:12:22.768,0.28702,906.9832,1.71589E+12,12840,21.25,,,
201,2010, 5/16/2024, 19:12:32.785,0.287,906.92,1.71589E+12,12900,21.25,,,
202,2020, 5/16/2024, 19:12:42.806,0.28705,907.078,1.71589E+12,12960,21.31,,,
203,2030, 5/16/2024, 19:12:52.823,0.28706,907.1096,1.71589E+12,13080,21.31,,,
204,2040, 5/16/2024, 19:13:02.842,0.28708,907.1728,1.71589E+12,13140,21.31,,,
205,2050, 5/16/2024, 19:13:12.847,0.28711,907.2676,1.71589E+12,13200,21.31,,,
206,2060, 5/16/2024, 19:13:22.873,0.28711,907.2676,1.71589E+12,13260,21.31,,,
207,2070, 5/16/2024, 19:13:32.151,0.28711,907.2676,1.71589E+12,13320,21.31,,,
208,2080, 5/16/2024, 19:13:42.176,0.28702,906.9832,1.71589E+12,13380,21.31,,,
209,2090, 5/16/2024, 19:13:52.196,0.28708,907.1728,1.71589E+12,13440,21.25,,,
210,2100, 5/16/2024, 19:14:02.223,0.28713,907.3308,1.71589E+12,13500,21.25,,,
211,2110, 5/16/2024, 19:14:12.245,0.28712,907.2992,1.71589E+12,13560,21.22,,,
212,2120, 5/16/2024, 19:14:22.271,0.28709,907.2044,1.71589E+12,13620,21.19,,,
213,2130, 5/16/2024, 19:14:32.300,0.28707,907.1412,1.71589E+12,13680,21.19,,,
214,2140, 5/16/2024, 19:14:42.318,0.28706,907.1096,1.71589E+12,13800,21.13,,,
215,2150, 5/16/2024, 19:14:52.348,0.28714,907.3624,1.71589E+12,13860,21.16,,,
216,2160, 5/16/2024, 19:15:02.349,0.28708,907.1728,1.71589E+12,13920,21.16,,,
217,2170, 5/16/2024, 19:15:12.352,0.28707,907.1412,1.71589E+12,13980,21.13,,,
218,2180, 5/16/2024, 19:15:22.355,0.28711,907.2676,1.71589E+12,14040,21.13,,,
219,2190, 5/16/2024, 19:15:32.358,0.2871,907.236,1.71589E+12,14100,21.13,,,
220,2200, 5/16/2024, 19:15:42.386,0.28711,907.2676,1.71589E+12,14160,21.19,,,
221,2210, 5/16/2024, 19:15:52.410,0.28709,907.2044,1.71589E+12,14220,21.19,,,
222,2220, 5/16/2024, 19:16:02.439,0.28716,907.4256,1.71589E+12,14280,21.13,,,
223,2230, 5/16/2024, 19:16:12.464,0.28713,907.3308,1.71589E+12,14340,21.19,,,
224,2240, 5/16/2024, 19:16:22.484,0.28711,907.2676,1.71589E+12,14400,21.19,,,
225,2250, 5/16/2024, 19:16:32.505,0.28715,907.394,1.71589E+12,14460,21.19,,,
226,2260, 5/16/2024, 19:16:42.528,0.28714,907.3624,1.71589E+12,14520,21.19,,,
227,2270, 5/16/2024, 19:16:52.545,0.28713,907.3308,1.71589E+12,14580,21.19,,,
228,2280, 5/16/2024, 19:17:02.560,0.28709,907.2044,1.71589E+12,14640,21.25,,,
229,2290, 5/16/2024, 19:17:12.588,0.28709,907.2044,1.71589E+12,14700,21.25,,,
230,2300, 5/16/2024, 19:17:22.614,0.28714,907.3624,1.71589E+12,14760,21.25,,,
231,2310, 5/16/2024, 19:17:32.634,0.28711,907.2676,1.71589E+12,14880,21.31,,,
232,2320, 5/16/2024, 19:17:42.661,0.28711,907.2676,1.71589E+12,14940,21.31,,,
233,2330, 5/16/2024, 19:17:52.681,0.28707,907.1412,1.71589E+12,15000,21.31,,,
234,2340, 5/16/2024, 19:18:02.699,0.28707,907.1412,1.71589E+12,15060,21.345,,,
235,2350, 5/16/2024, 19:18:12.721,0.28703,907.0148,1.71589E+12,15180,21.31,,,
236,2360, 5/16/2024, 19:18:22.742,0.28702,906.9832,1.71589E+12,15240,21.31,,,
237,2370, 5/16/2024, 19:18:32.762,0.28707,907.1412,1.71589E+12,15300,21.31,,,
238,2380, 5/16/2024, 19:18:42.785,0.28706,907.1096,1.71589E+12,15360,21.345,,,
239,2390, 5/16/2024, 19:18:52.815,0.28706,907.1096,1.71589E+12,15420,21.31,,,
240,2400, 5/16/2024, 19:19:02.846,0.28705,907.078,1.71589E+12,15540,21.31,,,
241,2410, 5/16/2024, 19:19:12.866,0.28708,907.1728,1.71589E+12,15600,21.31,,,
242,2420, 5/16/2024, 19:19:22.891,0.28707,907.1412,1.71589E+12,15660,21.25,,,
243,2430, 5/16/2024, 19:19:32.142,0.28704,907.0464,1.71589E+12,15720,21.25,,,
244,2440, 5/16/2024, 19:19:42.163,0.28702,906.9832,1.71589E+12,15780,21.25,,,
245,2450, 5/16/2024, 19:19:52.189,0.28701,906.9516,1.71589E+12,15900,21.19,,,
246,2460, 5/16/2024, 19:20:02.211,0.28698,906.8568,1.71589E+12,15960,21.19,,,
247,2470, 5/16/2024, 19:20:12.227,0.28701,906.9516,1.71589E+12,16020,21.25,,,
248,2480, 5/16/2024, 19:20:22.236,0.28702,906.9832,1.71589E+12,16080,21.19,,,
249,2490, 5/16/2024, 19:20:32.251,0.28701,906.9516,1.71589E+12,16140,21.25,,,
250,2500, 5/16/2024, 19:20:42.264,0.28701,906.9516,1.71589E+12,16200,21.25,,,
251,2510, 5/16/2024, 19:20:52.283,0.28701,906.9516,1.71589E+12,16260,21.25,,,
252,2520, 5/16/2024, 19:21:02.305,0.28705,907.078,1.71589E+12,16320,21.22,,,
253,2530, 5/16/2024, 19:21:12.333,0.28708,907.1728,1.71589E+12,16380,21.22,,,
254,2540, 5/16/2024, 19:21:22.356,0.28713,907.3308,1.71589E+12,16440,21.25,,,
255,2550, 5/16/2024, 19:21:32.366,0.28713,907.3308,1.71589E+12,16500,21.25,,,
256,2560, 5/16/2024, 19:21:42.388,0.28708,907.1728,1.71589E+12,16560,21.25,,,
257,2570, 5/16/2024, 19:21:52.410,0.28704,907.0464,1.71589E+12,16620,21.25,,,
258,2580, 5/16/2024, 19:22:02.433,0.28705,907.078,1.71589E+12,16680,21.28,,,
259,2590, 5/16/2024, 19:22:12.438,0.28707,907.1412,1.71589E+12,16740,21.31,,,
260,2600, 5/16/2024, 19:22:22.438,0.28706,907.1096,1.71589E+12,16800,21.31,,,
261,2610, 5/16/2024, 19:22:32.447,0.28709,907.2044,1.71589E+12,16920,21.38,,,
262,2620, 5/16/2024, 19:22:42.460,0.28711,907.2676,1.71589E+12,16980,21.38,,,
263,2630, 5/16/2024, 19:22:52.468,0.28714,907.3624,1.71589E+12,17040,21.38,,,
264,2640, 5/16/2024, 19:23:02.480,0.28716,907.4256,1.71589E+12,17100,21.38,,,
265,2650, 5/16/2024, 19:23:12.484,0.28712,907.2992,1.71589E+12,17160,21.38,,,
266,2660, 5/16/2024, 19:23:22.500,0.28712,907.2992,1.71589E+12,17220,21.38,,,
267,2670, 5/16/2024, 19:23:32.512,0.28711,907.2676,1.71589E+12,17280,21.38,,,
268,2680, 5/16/2024, 19:23:42.517,0.2871,907.236,1.71589E+12,17340,21.38,,,
269,2690, 5/16/2024, 19:23:52.527,0.28706,907.1096,1.71589E+12,17400,21.31,,,
270,2700, 5/16/2024, 19:24:02.534,0.28706,907.1096,1.7159E+12,17460,21.345,,,
271,2710, 5/16/2024, 19:24:12.544,0.28705,907.078,1.7159E+12,17520,21.38,,,
272,2720, 5/16/2024, 19:24:22.554,0.28708,907.1728,1.7159E+12,17580,21.31,,,
273,2730, 5/16/2024, 19:24:32.566,0.28713,907.3308,1.7159E+12,17640,21.31,,,
274,2740, 5/16/2024, 19:24:42.576,0.28714,907.3624,1.7159E+12,17700,21.31,,,
275,2750, 5/16/2024, 19:24:52.587,0.2871,907.236,1.7159E+12,17760,21.25,,,
276,2760, 5/16/2024, 19:25:02.596,0.28709,907.2044,1.7159E+12,17820,21.25,,,
277,2770, 5/16/2024, 19:25:12.604,0.28709,907.2044,1.7159E+12,17880,21.25,,,
278,2780, 5/16/2024, 19:25:22.615,0.28711,907.2676,1.7159E+12,17940,21.25,,,
279,2790, 5/16/2024, 19:25:32.623,0.28706,907.1096,1.7159E+12,18000,21.25,,,
280,2800, 5/16/2024, 19:25:42.630,0.28702,906.9832,1.7159E+12,18060,21.19,,,
